No,Domain,Link
1,"Problem Solving (1★ - 8/563 solved)",https://www.hackerrank.com/domains/algorithms
2,"C++ (4★ - 12/44 solved)",https://www.hackerrank.com/domains/cpp
3,"Python (3★ - 11/115 solved)",https://www.hackerrank.com/domains/python
4,"Sql (5★ - 43/58 solved)",https://www.hackerrank.com/domains/sql
5,"C (1★ - 4/25 solved)",https://www.hackerrank.com/domains/c
